,Sexo,Carrera,MS,MP,ML,EsS,EsP,EsL,ES,EP,EL,Enfo,Mes
45,F,ISDR,3.285714286,4.1428571430000005,2.285714286,2.714285714,3.857142857,3.428571429,3.0,4.0,2.8571,EP,Julio
46,M,ITC,4.428571429,4.428571429,4.571428571,3.571428571,4.428571429,2.857142857,4.0,4.4286,3.7143,EP,Julio
47,M,ISC,4.0,3.571428571,3.333333333,2.714285714,3.857142857,3.428571429,3.3571,3.7143,3.381,EP,Julio
48,M,ITI,3.0,3.571428571,3.142857143,2.5714285709999998,2.857142857,2.5714285709999998,2.7857,3.2143,2.8571,EP,Julio
49,M,INT,4.0,4.1428571430000005,4.1428571430000005,3.714285714,4.0,3.285714286,3.8571,4.0714,3.7143,EP,Julio
50,M,ITI,3.714285714,3.285714286,2.714285714,1.857142857,1.714285714,1.571428571,2.7857,2.5,2.1429,ES,Julio
51,M,Isc,4.428571429,4.0,4.285714286,3.857142857,3.714285714,3.714285714,4.1429,3.8571,4.0,ES,Julio
52,M,ITC,2.0,4.285714286,3.0,2.857142857,4.0,1.428571429,2.4286,4.1429,2.2143,EP,Julio
53,M,IFI,3.142857143,4.285714286,3.428571429,3.142857143,4.0,3.0,3.1429,4.1429,3.2143,EP,Julio
54,M,IMT,4.0,3.714285714,3.285714286,3.0,3.428571429,2.5714285709999998,3.5,3.5714,2.9286,EP,Julio
55,F,ITI,3.285714286,3.428571429,3.857142857,2.857142857,3.714285714,3.571428571,3.0714,3.5714,3.7143,EL,Julio
56,M,IMT,4.0,4.0,4.428571429,3.285714286,3.0,3.0,3.6429,3.5,3.7143,EL,Julio
